============================================================================================
日线蜡烛形态 edge 反事实回测 (ATR退出 + OOS三分 + FDR + 诚实门; observability-only)
============================================================================================
klines(1d) 符号: 30
形态信号(簇去重后): 13308

形态|方向|上下文                                n_test  净R_test    三段同号             诚实门   FDR       权重
Three Inside Down|-1|mid|up                  26  +0.783   FalseINSUFFICIENT_SAMPLE  True   +0.000
Bearish Engulfing|-1|high|up                 13  +0.781   FalseINSUFFICIENT_SAMPLE  True   +0.000
Evening Star|-1|low|down                     24  +0.773   FalseINSUFFICIENT_SAMPLE  True   +0.000
Tweezer Top|-1|low|down                      48  +0.769   False  low_confidence  True   +0.000
Bullish Marubozu|+1|high|up                  11  +0.753   FalseINSUFFICIENT_SAMPLE False   +0.000
Three Inside Up|+1|high|up                   10  +0.672   FalseINSUFFICIENT_SAMPLE False   +0.000
Evening Star|-1|mid|up                       42  +0.670    True  low_confidence  True   +0.670
Bearish Marubozu|-1|mid|up                    6  +0.606   FalseINSUFFICIENT_SAMPLE False   +0.000
Three Inside Down|-1|low|down                38  +0.564   False  low_confidence  True   +0.000
Bearish Harami|-1|low|down                   80  +0.386   False  low_confidence  True   +0.000
Bearish Harami|-1|high|up                    48  +0.373   False  low_confidence False   +0.000
Three Outside Down|-1|low|down              121  +0.348   False      actionable  True   +0.000
Tweezer Bottom|+1|mid|down                   34  +0.338   False  low_confidence False   +0.000
Bearish Engulfing|-1|low|down               135  +0.326    True      actionable  True   +0.326
Bullish Marubozu|+1|mid|down                 14  +0.320   FalseINSUFFICIENT_SAMPLE False   +0.000
Tweezer Bottom|+1|mid|up                     21  +0.295   FalseINSUFFICIENT_SAMPLE False   +0.000
Tweezer Top|-1|high|up                       10  +0.293   FalseINSUFFICIENT_SAMPLE False   +0.000
Bearish Engulfing|-1|low|up                   8  +0.174   FalseINSUFFICIENT_SAMPLE False   +0.000
Evening Star|-1|mid|down                     45  +0.131   False  low_confidence False   +0.000
Shooting Star|-1|mid|up                      19  +0.131   FalseINSUFFICIENT_SAMPLE False   +0.000
Three Outside Up|+1|mid|up                   40  +0.125   False  low_confidence False   +0.000
Bullish Engulfing|+1|mid|down               106  +0.094   False    inconclusive False   +0.000
